id_1,id_2
0,18427
1,21708
1,22208
1,22171
1,6829
1,16590
1,20135
1,8894
1,15785
1,10281
1,22265
1,7136
1,22405
1,10379
1,13737
1,8533
1,14344
1,2812
1,5755
1,16260
1,15026
1,17370
1,17460
1,8049
1,5307
1,4987
1,18304
1,12305
1,19743
1,20024
1,21729
1,10554
1,11557
1,5228
1,9934
2,9048
2,6353
2,2629
2,11537
2,13205
2,22304
2,17728
2,19337
2,126
2,17554
2,8495
2,5857
3,16742
3,293
3,5826
3,3479
3,19753
3,17346
3,10945
3,22338
3,11319
3,9654
4,13645
4,20876
4,11446
4,16203
4,2830
4,2004
4,20624
4,21280
4,1182
4,21538
4,1443
4,11423
4,187
4,5730
4,2983
4,1489
4,6823
4,17695
4,11102
4,6390
4,17242
4,10018
4,5147
4,6427
4,14628
4,1882
4,22401
4,16128
4,12872
4,9263
4,14155
4,21631
4,6329
4,17507
4,2282
4,9706
4,4738
4,3676
4,16972
4,5356
4,8514
4,14332
4,7212
4,8843
4,1879
4,1377
4,1997
4,7813
4,3891
4,2732
4,4109
5,8288
5,9206
5,1840
5,17845
5,17411
5,21768
5,15735
5,18468
5,21755
5,16406
5,14111
5,20510
5,945
5,20271
5,14862
5,3726
5,6946
5,12902
5,4808
5,14241
5,7106
5,18497
6,18893
6,1193
6,4000
6,12625
6,290
6,22261
6,13966
6,3300
6,22403
6,18782
6,5066
6,17038
6,3816
6,16052
6,12645
6,15644
7,3305
7,12361
7,18601
8,13872
8,14205
8,3975
9,2773
9,14497
10,14
10,11332
10,13511
11,20092
11,8106
11,12130
11,19489
12,4683
12,21430
12,18391
12,18059
12,6008
12,19356
13,22435
13,1744
13,395
13,16399
13,9001
13,2280
13,6113
13,7235
13,213
13,7431
13,501
13,11971
13,16282
13,11209
13,1494
13,12762
13,4253
14,2904
14,18062
14,6037
14,3848
14,11034
14,5458
14,15323
14,18512
14,5822
14,1041
14,14392
14,19837
14,20071
14,10622
14,9946
14,4328
14,8002
14,4502
14,21323
14,1187
14,8004
14,11557
14,3695
14,17866
